user_id,title,tags,logo,company,location,email,website,description
1,"

React.jsDeveloper","

fundamentals,css,mobile,javascript,jquery,react.js,git,uml,html,phonegap,middleware

",,"
AppsInvoPvtLtd

",Noida/Greater Noida,info@kaya.co.ke,https://www.appsinvo.com/,"Required Skills & Qualifications: Good working knowledge of HTML, CSS, structure, and semanticExperience in Javascript & jQueryGood communication & analytical skillsCandidate must have good knowledge of Data StructureKnowledge of PWA (Progressive Web Application) development is a major plusKnowledge of hybrid mobile app framework like PhoneGap, Ionic, React Native would be a plus.Knowledge of HTML, CSS, structure, and semantics.Must have knowledge of React latest verson (including Hooks).Strong Fundamentals of Redux lifecycle, store and middleware.Should be aware of new ES6 features and TypeScript.Knowledge of pixel-perfect conversion of PSD into HTML document with the Responsive view.Must have knowledge of Javascript & jQueryCandidate should have knowledge of UML diagramsCandidate must have good knowledge of Data StructureKnowledge of CSS Preprocessors like Less, Sass is a plusUnderstanding of version control systems like Git.Candidate can work in team as well as individualMust have experience in ReactJs, Vue.jsApply Now"
1,"

React.JsDeveloper","
react.js,games,debugging,html,softwareengineer,api,guidesign,mobile,javascript

",,"
SysvineTechnologies

",Chennai,info@kaya.co.ke,http://www.sysvine.com,"Looking for an experienced React JS frontend developer. Ability to understand the requirement and write reusable components, Sound knowledge in Functional Components of React and the hooks; Familiar with Agile methodologies.Desired Candidate ProfileGood in Javascript and web conceptsExperienced in React and integrating Restful Web ServicesGood knowledge in API integration, Async Programming, Redux, GUI DesignKnowledge on React, Webpack, Inline debugging, Node, Keycloak, API integrationGood in communicationEducation/Specific KnowledgeAny DegreeKey SkillsReact.Js, Javascript, Redux, API Integration, HTML"
1,"

Sr.React.jsEngineer","

markuplanguages,react.js,css,html5,mobile,graphics,javascript,jquery

",,"
GKMIT

",Udaipur,info@kaya.co.ke,http://www.gkmit.co,"Sr. React.js EngineerWe require Sr. Frontend Engineer with 3  years of experience. Required Skills Proven work experience as a Front-end developerProficient understanding of web markup languages, including HTML5, CSS3Experience with React, Angular, Node, Nuxt, VueBasic understanding of server-side CSS pre-processing platforms, such as LESS and SASSBasic knowledge of Restful APIsProficient understanding of client-side scripting and JavaScript frameworks, including jQueryKnowledge of deployment of applications on servers would be an advantageResponsibilities Use a variety of programming languages in order to create a user-friendly and eye-catching user interfaceWork in a multidisciplinary team with other professionals such as back-end developers and designersBuild high-quality mockups and design different prototypesAssure that all user input is validated before submitting to the back-endProvide high-quality graphics and visual elementsOptimize our web applications for maximum speedDesign mobile-based features"
1,"

React.jsDeveloper-Senior","

css,informationtechnology,restapi,javascriptdeveloper,react.js,git,debugging,html,rest,problemsolving,teamplayer,javascript,infrastructure

",,"
TECHNOPARKTRIVANDRUM

",Thiruvananthapuram,info@kaya.co.ke,"Technology (IT, Telecom, Dot Com etc) (Software Products Companies)","Brief description :React.js Developer - Senior roles - Immediate RequirementWe are looking for a great JavaScript developer who is proficient with React.js. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux). Knowledge of Flutter is desired. You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is importantPreferred skillsKey responsibilities:Reviewing application requirements and interface designs.Identifying web-based user interactions.Developing and implementing highly responsive user interface components using react conceptsWriting application interface codes using JavaScript following react.js workflows.Building reusable components and front-end libraries for future useTroubleshooting interface software and debugging application codes.Monitoring and improving front-end performance.Documenting application changes and developing updates.Translating designs and wireframes into high quality codeOptimizing components for maximum performance across a vast array of web-capable devices and browsersAbility to execute to ReactJs directly in the Nodejs environment.Requirements (Qualifications/Experience/Competencies)Bachelors degree in computer science, information technology, or a similar field.Experience with JavaScript, In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.Experience with REACTjs and NodejsExperience with HTML / CSSExperience with REST API'sGit knowledge is a plusTeam player & Good time-management skillsGreat interpersonal and communication skillsPrevious experience working as a react.js developer.Knowledge of REACT tools including React.js, Webpack, Enzyme, Redux, and Flux.Experience with user interface design.Experience with browser-based debugging and performance testing software.Excellent troubleshooting skills."
1,"

Angular/ReactJSDeveloper","

html5,restapi,bootstrap,jquery,react.js,git,asp.net,oops,json,debugging,webapi,mvc,c#,rest,mobile,mvcarchitecture,javascript,serviceorientedarchitecture,sqlprogramming

",,"
NovayaSoftwarePrivateLimited

",Hyderabad/Secunderabad,info@kaya.co.ke,http://www.novayasoft.com,"Angular/ReactJS Developer: Novaya is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. Were a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic.Novaya is engaged in providing turnkey software solutions and service to our global clients. We specialize in web and mobile healthcare solutions for Acute and ambulatory clinics. We are developing patient clinical solutions.We at Novaya Software are seeking to hire Angular/React Developer to create innovative applications based on best practices, standards and application requirements.Minimum 1-3 years experience in developing web applications using Angular 2, 3, 4, 5, 6 or 7.Proficiency with HTML5, CSS3, JavaScript, jQuery, TypeScript and Responsive UI frameworks such as React JS, Angular JS, App JS, Bootstrap, similar frameworks are required.Strong Knowledge on Angular web/mobile application UI design skills.Knowledge on C#, Asp.Net, MVC, Web API, REST services & SQL Programming skills.Good understanding of REST API/ Web API consumption, integration using Service Oriented Architecture.Should be able to develop or maintain applications with MVC architecture.Good programming skills, should be having excellent knowledge in manipulating complex JSON, must be very good in OOPS.Strong debugging and problem-solving skills.Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object modelKnowledge of modern authorization mechanisms, such as JSON Web TokenKnowledge in creating custom modules and components which extend the elements and modules of core Angular.Thorough understanding of React.js and its core principles.Experience with popular React.js workflows (such as Flux or Redux).Must have experience with unit testing framework for UI.Expertise with the cross-browser platform and design constraints on the web.Experience testing Angular application via Karma /Jasmine.Proficient understanding code versioning tools such as GIT Repository.Ability to understand business requirements and translate them into technical requirements.Should be self-motivated and quick learner.Desired Candidate Profile Must be a self learner and hard worker.Preferably coming from a startup/small company.Preference to those who can join immediately.Education: B.Tech/B.E - Computers, MCA - Computers, MS/M.Sc(Computers)"
1,"

FrontendDeveloper-ReactJS/AngularJS","

html5,javascript,grunt,webtechnologies,angularjs

",,"
NuchangeInformatics

",Bengaluru / Bangalore,info@kaya.co.ke,http://www.nuchange.com,"Frontend Developer-ReactJS/AngularJSWeb Application Development1  year(s)We are looking for frontend developers with 1  years of experience on web application development tools and technologies who can build compelling web applications for enterprise B2B applications. We use HTML5, CSS3, Angular, React to build our product UI. Knowing these technologies and having familiarity with latest and upcoming web technologies like ES6, ES7, Web Components is a must.Key Responsibilities* Work with developers, BAs and clients to design and build new product features with simple and intuitive user interfaces.* Pair with UX designers to build out design concepts and interactive prototypes.* Write good Javascript code from scratch.Salary: 4.5LPA-10LPARequired skills and experience* 1  years of experience of writing modular / reusable / Object Oriented Javascript code and using frameworks like Angular, React, ES6 etc.* Experience in writing Unit tests following TDD using any testing framework.* Working knowledge of node, build tools like requireJS/browserify/webpack and task runners like Grunt/Gulp is good to have.* Only immediately available candidates may apply."
1,"

FullStackdeveloper(ReactJS)","

fundamentals,css,knockoutjs,extjs,javascript,jquery,html

",,"
isolsoftechpvt.ltd

",Bengaluru / Bangalore,info@kaya.co.ke,http://www.isolsoftech.in/Job-Openings.html,"Date Posted : 11/08/2020Skills Mandatory:- Clear understanding of JavaScript fundamentals like closures and prototypesUnderstand and be able to articulate the difference between functional and OO programming principlesFrontend frameworks like React, Angular JS, Vue, Polymer,Lit-element etcWriting type safe JavaScript code like Typescript (preferred), flow etcRedux for managing application state managementWebpack (preferred), gulp, parcel etc and be able to use it to do the following Code splitting, tree shaking, static asset management, preprocessingHave a working understanding of any frontend automation testing frameworkA working understanding of Nodejs would be good.Experience in front-end development such as HTML, CSS, pre-processors such as Less, Javascript including libraries like ExtJS, KnockoutJS and JQuery, linters and minifiersUser experience engineering"
1,"

React.jsDeveloper","

rest,css,json,html,javascript,webprogramming,docker

",,"
SakhatechInformationSystemsPvt.Ltd

",Bengaluru / Bangalore,info@kaya.co.ke,https://www.sakhaglobal.com/,"Expertise in functional programming using JavaScript (ES5, ES6)Expertise in UI framework  React/Redux, RXJSExperience with React Native is preferredPreferred experience with a new generation of Web Programming  using Micro Service, REST / JSON, Component UI modelsExpertise with data visualization flow development along with usage of modern charting and graphical javascript libraryPreferred experience with Docker-based development/deployment platformPreferred experience with AWS CloudPreferred experience with AWS RedShift or PostgresReact/Redux, RXJS, HTML, CSS, JavaScript (ES5, ES6), Data visualization, and Chart Libraries"
1,"

SoftwareEngineer-ReactJS","

html5,maven,windows,javascript,jquery,git,postgresql,linux,webtechnologies,softwareengineer

",,"
SATRAInfrastructureManagement

",Hyderabad/Secunderabad,info@kaya.co.ke,http://www.satragroup.in,"Required skills: Having Hands on experience in application software development using Object Oriented Methodologies.Operating Systems : Windows, LinuxWeb Technologies / Frameworks HTML5, CSS3,JavaScript, jQuery, BootStrap4 and React JSBuild, version control and Deployment Maven, Node JS, GitData Bases PostgreSQLWeb / Application Servers Tomcat 5.X,6.X,7.X,8.X,9.X / Node JS3-4 Years"
1,"

SeniorSoftwareEngineer-ReactJS","

html5,maven,seniorsoftwareengineer,windows,javascript,jquery,git,postgresql,linux,webtechnologies

",,"
SATRAInfrastructureManagement

",Hyderabad/Secunderabad,info@kaya.co.ke,http://www.satragroup.in,"Required skills: Having Hands on experience in application software development using Object Oriented Methodologies.Operating Systems : Windows, LinuxWeb Technologies / Frameworks HTML5, CSS3,JavaScript, jQuery, BootStrap4 and React JSBuild, version control and Deployment Maven, Node JS, GitData Bases PostgreSQLWeb / Application Servers Tomcat 5.X,6.X,7.X,8.X,9.X / Node JS5-8 Years"
