Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Duration,Project Due Date,Project Type,Project Periodicity,Note Plateforme,Project Comment
Horizon Photovoltaique 27,1303000.0,lendopolis,5.0,Clos,904627163,48,17/02/2022,amortizing,monthly,,reimbursing
Horizon Photovoltaique 27,2338000.0,lendopolis,5.0,Clos,904627163,48,23/02/2022,amortizing,monthly,,reimbursing
Horizon Photovoltaique 27,686000.0,lendopolis,5.0,Clos,904627163,48,14/02/2022,amortizing,monthly,,reimbursing
Horizon Photovoltaique 27,271000.0,lendopolis,5.0,Clos,904627163,48,19/01/2022,amortizing,monthly,,reimbursing
Les Martines,430570.0,enerfip,4.5,En cours,901499863,42,31/01/2022,amortizing,monthly,,reimbursing
Projimmo,318976.0,pretup,9.0,Clos,807820402,18,15/11/2021,amortizing,monthly,C,reimbursing
Le Born Pelouse,800000.0,enerfip,5.0,Clos,533075909,48,11/01/2022,amortizing,monthly,,reimbursing
Acquisition de locaux d'activités en zone portuaire à La Réunion,3500000.0,lesentrepreteurs,7.5,Clos,903899540,24,15/11/2021,amortizing,monthly,D,reimbursing
AMINATA SAKERA SASU,20000.0,credit.fr,6.3,Clos,821395142,12,28/10/2021,amortizing,monthly,C+,reimbursing
Ibéria Sol 1,1600000.0,enerfip,5.0,Clos,853649713,36,15/12/2021,amortizing,monthly,,reimbursing
PV Gefco Blyes 1,540000.0,enerfip,4.8,Clos,892420464,48,01/12/2021,amortizing,monthly,,reimbursing
Conseils et services aux entreprises - TOULON,80000.0,unilend,8.8,Clos,,36,29/10/2021,amortizing,monthly,,reimbursing
YFC FINANCE,20000.0,credit.fr,6.0,Clos,809902901,6,26/10/2021,amortizing,monthly,B,reimbursing
STEELMOB,50000.0,credit.fr,5.6,Clos,839323656,24,26/10/2021,amortizing,monthly,B,reimbursing
Ouverture d'un Carrefour Occasion à Rosny 2,40000.0,lesentrepreteurs,7.5,Clos,901906198,48,25/11/2021,amortizing,monthly,D,reimbursing
"Enseignement, santé, action sociale et service aux ménages - PARIS 17",53000.0,unilend,6.5,Clos,,36,29/10/2021,amortizing,monthly,,reimbursing
Refinancement opération immobilière Le Romorantin à Orange,400000.0,lesentrepreteurs,9.5,Clos,794312298,12,19/11/2021,amortizing,monthly,A+,reimbursing
Opération de promotion chemin des Autrichiens à Antibes,259000.0,lesentrepreteurs,9.0,Clos,832962369,24,22/10/2021,amortizing,monthly,A,reimbursing
Activités financières et d'assurances - Gradignan,50000.0,unilend,7.8,Clos,,36,26/10/2021,amortizing,monthly,,reimbursing
YFC FINANCE,30000.0,credit.fr,5.6,Clos,809902901,24,22/10/2021,amortizing,monthly,B,reimbursing
CEIRA TELECOM,250000.0,credit.fr,4.9,Clos,752425652,36,25/10/2021,amortizing,monthly,B+,reimbursing
Plateau du Vexin,150000.0,enerfip,6.0,Clos,901934687,24,30/11/2021,amortizing,monthly,,reimbursing
CKAPITAL,50013.0,pretup,8.5,Clos,901739300,24,20/10/2021,amortizing,monthly,C,reimbursing
Horizon Photovoltaique 25,73000.0,lendopolis,5.0,Clos,903715555,48,16/12/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 25,739000.0,lendopolis,5.0,Clos,903715555,48,14/12/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 25,23000.0,lendopolis,5.0,Clos,903715555,48,01/11/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 25,86000.0,lendopolis,5.0,Clos,903715555,48,05/11/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 25,26000.0,lendopolis,5.0,Clos,903715555,48,18/10/2021,amortizing,monthly,,reimbursing
Pharmacie SAGAPHARM,70016.0,pretup,8.5,Clos,829727957,36,14/10/2021,amortizing,monthly,C,reimbursing
Pierrefonds,1350000.0,enerfip,5.0,Clos,509954822,48,01/12/2021,amortizing,monthly,,reimbursing
Opération rue Béquet - Rueil Malmaison,1600000.0,wesharebonds,7.5,Clos,812309284,18,11/10/2021,bullet,annual,B,reimbursing
Horizon Photovoltaique 22,62000.0,lendopolis,5.0,Clos,900398421,60,26/10/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 22,45000.0,lendopolis,5.0,Clos,900398421,60,15/10/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 22,55000.0,lendopolis,5.0,Clos,900398421,60,15/10/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaique 22,115000.0,lendopolis,5.0,Clos,900398421,60,10/11/2021,amortizing,monthly,,reimbursing
ECOLE FRANCAISE DU BATIMENT,35000.0,credit.fr,6.9,Clos,814137717,36,12/10/2021,amortizing,monthly,C+,reimbursing
UTIL'AUTO - Achat / vente de véhicules utilitaires,20000.0,prexem,8.3,autre,837991033,24,25/10/2021,amortizing,monthly,C,reimbursing
Mas d'en Ramis,950000.0,enerfip,5.0,Clos,898926837,48,30/11/2021,amortizing,monthly,,reimbursing
MDS Participatif,400000.0,enerfip,5.0,Clos,901715151,60,14/10/2021,amortizing,monthly,,reimbursing
Financement du stock S2RI lot 1,100000.0,lesentrepreteurs,7.5,Clos,902932359,6,11/10/2021,amortizing,monthly,A+,reimbursing
Information et communication - MARSEILLE 6,35000.0,unilend,7.0,Clos,,24,08/10/2021,amortizing,monthly,,reimbursing
COLLABORATIVE STEEL,85000.0,credit.fr,6.75,Clos,480357482,30,08/10/2021,amortizing,monthly,C+,reimbursing
L-INT 2026 - 3ème Tranche,1000000.0,enerfip,5.25,Clos,833833866,60,22/10/2021,amortizing,monthly,,reimbursing
Sarreguemines 2,150000.0,enerfip,4.75,Clos,851348110,48,01/12/2021,amortizing,monthly,,reimbursing
Autres activités                 - Saint-Paul,28000.0,unilend,8.3,Clos,,48,06/10/2021,amortizing,monthly,,reimbursing
G FINANCE,250000.0,pretup,8.5,Clos,419890215,36,19/10/2021,amortizing,monthly,C,reimbursing
Soleil Girondin,79000.0,lendopolis,5.0,Clos,840599732,48,05/10/2021,amortizing,monthly,,reimbursing
El Caballo,100000.0,lendix,6.5,Clos,27154525,36,06/10/2021,amortizing,monthly,B,reimbursing
CS SPW2,400000.0,lendopolis,5.0,Clos,811102292,48,22/10/2021,amortizing,monthly,,reimbursing
Paidou,60000.0,lendix,2.0,Clos,830959045,12,08/10/2021,amortizing,monthly,C,reimbursing
Melvan Energie 1,2000000.0,enerfip,6.0,Clos,902292945,60,18/10/2021,amortizing,monthly,,reimbursing
Samsecur,22500.0,lendix,7.5,Clos,883292336,24,08/10/2021,amortizing,monthly,C-,reimbursing
Cityz,15000.0,lendix,8.5,Clos,848900882,24,08/10/2021,amortizing,monthly,C-,reimbursing
Ag Ecom Marketing,15000.0,lendix,2.0,Clos,850774068,12,15/10/2021,amortizing,monthly,C-,reimbursing
Opération Voltaire,5000000.0,enerfip,6.0,Clos,519533756,24,12/10/2021,amortizing,monthly,,reimbursing
Bois du Raz,100000.0,enerfip,6.0,Clos,421377946,24,18/11/2021,amortizing,monthly,,reimbursing
Acquisition d'un terrain boulevard du 19 mars 1962 à Guérande,45000.0,lesentrepreteurs,9.0,Clos,841213911,18,28/09/2021,amortizing,monthly,D,reimbursing
Petrus Solutions Design & Build,15000.0,lendix,8.5,Clos,840894265,24,06/10/2021,amortizing,monthly,C-,reimbursing
Lass Driver,15000.0,lendix,8.5,Clos,883885022,24,06/10/2021,amortizing,monthly,C-,reimbursing
ILORAL VISION,500000.0,credit.fr,5.3,Clos,812371888,12,04/10/2021,amortizing,monthly,B,reimbursing
IMMOCALL,30000.0,credit.fr,7.6,Clos,835039249,24,28/09/2021,amortizing,monthly,C,reimbursing
Club Deal,5000000.0,wesharebonds,4.0,Clos,,6,26/09/2021,bullet,annual,B,reimbursing
Acquisition de trois appartements à Nice,176000.0,lesentrepreteurs,9.0,Clos,899874044,12,29/09/2021,amortizing,monthly,A,reimbursing
Acquisition d'un ensemble immobilier allée des Crocus à La Baule-Escoublac,126000.0,lesentrepreteurs,9.0,Clos,841213911,18,28/09/2021,amortizing,monthly,D,reimbursing
Construction / BTP - THUMERIES,60000.0,unilend,6.9,Clos,,48,27/09/2021,amortizing,monthly,,reimbursing
Indekor,20000.0,lendix,7.5,Clos,839445087,24,04/10/2021,amortizing,monthly,C-,reimbursing
Brandmerck,250000.0,lendix,4.5,Clos,70659745,60,29/09/2021,amortizing,monthly,A,reimbursing
AM Vision,22500.0,lendix,7.5,Clos,849119474,24,04/10/2021,amortizing,monthly,C-,reimbursing
AFR Holdco Sirius,1500000.0,lendopolis,3.5,Clos,902529486,18,18/10/2021,bullet,annual,,reimbursing
Anthélios #2,700000.0,lendix,6.6,Clos,484879077,24,30/09/2021,amortizing,monthly,B+,reimbursing
Nuxweb,15000.0,lendix,2.0,Clos,502442411,12,11/10/2021,amortizing,monthly,C-,reimbursing
IEL Exploitation 15,80000.0,lendopolis,4.0,Clos,524599123,36,20/12/2021,amortizing,monthly,,reimbursing
IEL Exploitation 48,181517.0,lendopolis,5.0,Clos,813492378,60,22/12/2021,amortizing,monthly,,reimbursing
GRAVIERE  MICHEL,20000.0,credit.fr,6.0,Clos,452865306,6,24/09/2021,amortizing,monthly,C+,reimbursing
SELARL DOCTEUR ARNAUD,60000.0,credit.fr,4.45,Clos,507825867,18,24/09/2021,amortizing,monthly,B+,reimbursing
Less2Care #4,1650000.0,lendix,7.8,Clos,70550190,84,28/09/2021,amortizing,monthly,B,reimbursing
Au Comptoir De Rivery,138000.0,lendix,2.0,Clos,827691940,12,27/09/2021,amortizing,monthly,C,reimbursing
Ouverture d'un nouveau restaurant La Boucherie à Martigues,30000.0,lesentrepreteurs,8.5,Clos,881345243,48,30/09/2021,amortizing,monthly,D,reimbursing
Les Puyats,300000.0,enerfip,6.0,Clos,838317584,36,15/11/2021,amortizing,monthly,,reimbursing
Bresciangrana Societa' Agricola  #3,590000.0,lendix,6.4,Clos,01990840983,48,28/09/2021,amortizing,monthly,B,reimbursing
Trans DFN,15000.0,lendix,8.5,Clos,885067827,24,01/10/2021,amortizing,monthly,C-,reimbursing
Nettoyage Technique Service,250000.0,lendix,2.0,Clos,399107101,12,27/09/2021,amortizing,monthly,B,reimbursing
AUTOMOBILE NIMOIS,50000.0,credit.fr,6.6,Clos,832283055,24,22/09/2021,amortizing,monthly,C+,reimbursing
Acquisition d'une maison avenue Adrienne Bolland à La Baule-Escoublac,150000.0,lesentrepreteurs,9.0,Clos,841213911,18,22/09/2021,amortizing,monthly,D,reimbursing
RISQUASSUR,450000.0,credit.fr,5.9,Clos,380825471,36,27/09/2021,amortizing,monthly,B,reimbursing
Bati Services,22500.0,lendix,7.5,Clos,842837536,24,27/09/2021,amortizing,monthly,C-,reimbursing
Horizon Photovoltaique 19,80000.0,lendopolis,5.0,Clos,899161772,48,20/09/2021,amortizing,monthly,,reimbursing
Ubeeko,22500.0,lendix,2.0,Clos,537481822,12,05/10/2021,amortizing,monthly,C-,reimbursing
Assertivo,21000.0,lendix,2.0,Clos,849376447,12,04/10/2021,amortizing,monthly,C-,reimbursing
Faire Labs,22500.0,lendix,8.25,Clos,11235270961,24,30/09/2021,amortizing,monthly,C-,reimbursing
TFT,20000.0,lendix,7.5,Clos,883644759,24,27/09/2021,amortizing,monthly,C-,reimbursing
Ognod Consulting,15000.0,lendix,2.0,Clos,838985695,12,04/10/2021,amortizing,monthly,C-,reimbursing
2ndLOF  #2,775000.0,lendix,7.0,Clos,56263732,60,23/09/2021,amortizing,monthly,B,reimbursing
Saint-Laurs et Beugnon-Thireuil,1000000.0,enerfip,6.0,Clos,497733345,60,21/10/2021,amortizing,monthly,,reimbursing
Seeqle,15000.0,lendix,8.5,Clos,809063142,24,24/09/2021,amortizing,monthly,C-,reimbursing
Financière Guizot #5,209000.0,lendix,5.7,Clos,483680633,60,20/09/2021,amortizing,monthly,B+,reimbursing
Business & Happiness,22500.0,lendix,2.0,Clos,824064075,12,01/10/2021,amortizing,monthly,C-,reimbursing
KACOLUMB,42000.0,pretup,8.5,Clos,902509595,36,16/09/2021,amortizing,monthly,C,reimbursing
Conseils et services aux entreprises - ANTONY,100000.0,unilend,8.0,Clos,,36,15/09/2021,amortizing,monthly,,reimbursing
Dev'Enr Participatif,1000000.0,enerfip,5.0,Clos,901658492,60,30/09/2021,bullet,annual,,reimbursing
LA CERISE BLEUE,50000.0,credit.fr,6.3,Clos,527778328,12,14/09/2021,amortizing,monthly,C+,reimbursing
Les Métiers Du Bâtiment,22500.0,lendix,2.0,Clos,843923699,12,29/09/2021,amortizing,monthly,C-,reimbursing
Hk&Mk,17500.0,lendix,7.5,Clos,879252898,24,22/09/2021,amortizing,monthly,C-,reimbursing
Expertise Comptable,50000.0,prexem,8.5,autre,532439775,24,23/09/2021,amortizing,monthly,C,reimbursing
Voltee,23000.0,lendix,6.5,Clos,851803387,24,20/09/2021,amortizing,monthly,C-,reimbursing
CRAZYSMOKE,60000.0,credit.fr,6.6,Clos,792396855,24,14/09/2021,amortizing,monthly,C+,reimbursing
Canebières,140000.0,enerfip,4.5,Clos,824161905,48,15/10/2021,amortizing,monthly,,reimbursing
Initiatives Energies Locales,18763.0,lendopolis,5.0,Clos,451801708,36,19/10/2021,amortizing,monthly,,reimbursing
GROUPE SENA AUTO,155000.0,credit.fr,6.75,Clos,815336102,30,17/09/2021,amortizing,monthly,C+,reimbursing
A-Vector,15000.0,lendix,8.5,Clos,882206618,24,20/09/2021,amortizing,monthly,C-,reimbursing
Haras Srls,20000.0,lendix,8.25,Clos,10891460965,24,23/09/2021,amortizing,monthly,C-,reimbursing
Optim Jbr,20000.0,lendix,6.5,Clos,834888836,24,15/09/2021,amortizing,monthly,C-,reimbursing
Métal Art & Design,15000.0,lendix,8.5,Clos,848270427,24,17/09/2021,amortizing,monthly,C-,reimbursing
AURUM FINANCIAL,95000.0,credit.fr,6.9,Clos,790091706,36,09/09/2021,amortizing,monthly,C+,reimbursing
QRO Grans,175000.0,enerfip,4.5,Clos,823557459,48,07/10/2021,amortizing,monthly,,reimbursing
S I Alerta,120000.0,lendix,5.9,Clos,B61342887,36,11/09/2021,amortizing,monthly,B,reimbursing
Ovivant,83000.0,lendix,2.0,Clos,847744976,12,13/09/2021,amortizing,monthly,C,reimbursing
Horizon Photovoltaique 23,317000.0,lendopolis,5.0,Clos,901885855,48,12/10/2021,amortizing,monthly,,reimbursing
Dimass Group,1350000.0,lendix,5.6,Clos,54991099,60,13/09/2021,amortizing,monthly,B+,reimbursing
C2See,30000.0,lendix,6.5,Clos,850333600,24,15/09/2021,amortizing,monthly,C-,reimbursing
La Fourmi Verte,22500.0,lendix,2.0,Clos,488019761,12,22/09/2021,amortizing,monthly,C-,reimbursing
PROLUM FRANCE,95000.0,credit.fr,6.9,Clos,507992642,36,06/09/2021,amortizing,monthly,C+,reimbursing
Rentisi,22500.0,lendix,7.5,Clos,853810000,24,13/09/2021,amortizing,monthly,C-,reimbursing
Perfect Sécurité Privée,30000.0,lendix,6.5,Clos,823430608,24,13/09/2021,amortizing,monthly,C-,reimbursing
SHARZ,100000.0,pretup,8.5,Clos,798763272,36,04/09/2021,amortizing,monthly,C,reimbursing
Bonjour Wild,30000.0,lendix,2.0,Clos,838688323,12,17/09/2021,amortizing,monthly,C-,reimbursing
Autres activités                 - AGEN,25000.0,unilend,7.8,Clos,,36,03/09/2021,amortizing,monthly,,reimbursing
Forêt de l'Espinouse,100000.0,enerfip,6.0,Clos,423379338,24,12/10/2021,amortizing,monthly,,reimbursing
MIX CAR,40000.0,credit.fr,6.0,Clos,751818576,6,01/09/2021,amortizing,monthly,B,reimbursing
Intrica,185000.0,lendix,7.0,Clos,24118645,48,03/09/2021,amortizing,monthly,B,reimbursing
Gobuse,30000.0,lendix,6.5,Clos,831944186,24,05/09/2021,amortizing,monthly,C-,reimbursing
Under The Milky Way,184000.0,lendix,2.0,Clos,523274546,12,31/08/2021,amortizing,monthly,C,reimbursing
FIT&RACK,90000.0,credit.fr,7.6,Clos,815282124,24,27/08/2021,amortizing,monthly,C,reimbursing
MOOST Wanted,132000.0,lendix,7.0,Clos,66243483,48,30/08/2021,amortizing,monthly,B,reimbursing
Financement d'un programme immobilier à La Bastidonne,1244000.0,lesentrepreteurs,10.0,Clos,889672440,18,06/09/2021,amortizing,monthly,A,reimbursing
Transport Sécurité Avenir,250000.0,lendix,2.0,Clos,488883331,12,27/08/2021,amortizing,monthly,C,reimbursing
"Commerce, réparation automobile - TOULON",30000.0,unilend,7.0,Clos,,24,24/08/2021,amortizing,monthly,,reimbursing
The Atelier,22500.0,lendix,2.0,Clos,827462367,12,06/09/2021,amortizing,monthly,C-,reimbursing
Syaga Consulting,20000.0,lendix,6.5,Clos,518489471,24,30/08/2021,amortizing,monthly,C-,reimbursing
Rea,23400.0,lendix,2.0,Clos,838014231,12,02/09/2021,amortizing,monthly,C-,reimbursing
Blue ENR,760000.0,lendopolis,5.0,Clos,822786190,48,03/11/2021,amortizing,monthly,,reimbursing
Information et communication - LA COURNEUVE,90000.0,unilend,8.0,Clos,,36,17/08/2021,amortizing,monthly,3,reimbursing
GROUPE LMJ,50011.0,pretup,8.5,Clos,353803844,48,14/08/2021,amortizing,monthly,C,reimbursing
FitSoft,140000.0,lendix,6.5,Clos,64545490,36,18/08/2021,amortizing,monthly,B,reimbursing
Iwantlead,20000.0,lendix,7.5,Clos,880522909,24,23/08/2021,amortizing,monthly,C-,reimbursing
Endeer,15000.0,lendix,8.5,Clos,823837257,24,20/08/2021,amortizing,monthly,C-,reimbursing
Vernon & Associés,240000.0,lendix,6.0,Clos,498135672,60,16/08/2021,amortizing,monthly,B,reimbursing
Los Bucaneros Mobile Canning,207535.0,lendix,5.5,Clos,B67246843,36,17/08/2021,amortizing,monthly,B,reimbursing
Ms-Leman,15000.0,lendix,8.5,Clos,851884262,24,19/08/2021,amortizing,monthly,C-,reimbursing
3K Elo,24000.0,lendix,2.0,Clos,843662784,12,26/08/2021,amortizing,monthly,C-,reimbursing
Financement corporate d'Urban Steel Group Tranche n°7,300000.0,lesentrepreteurs,6.0,Clos,881239370,60,30/09/2021,amortizing,monthly,D,reimbursing
Salé Bon Mem',15000.0,lendix,7.5,Clos,835056375,24,16/08/2021,amortizing,monthly,C-,reimbursing
Imprimerfuté,75000.0,lendix,2.0,Clos,820832608,12,13/08/2021,amortizing,monthly,C,reimbursing
A-Quia,15000.0,lendix,2.0,Clos,493916530,12,23/08/2021,amortizing,monthly,C-,reimbursing
Polyestershoppen  #2,300000.0,lendix,4.5,Clos,50229699,36,11/08/2021,amortizing,monthly,B+,reimbursing
SULPICE SAS,400000.0,credit.fr,4.6,Clos,352330443,24,20/08/2021,amortizing,monthly,B+,reimbursing
Hervé,30000.0,lendix,6.5,Clos,849337506,24,12/08/2021,amortizing,monthly,C-,reimbursing
Rivia Digital,15000.0,lendix,8.5,Clos,883115362,24,12/08/2021,amortizing,monthly,C-,reimbursing
GLOCAL DIFFUSION,155000.0,credit.fr,5.6,Clos,509555702,24,06/08/2021,amortizing,monthly,B,reimbursing
Industrie - Chantelle,30000.0,unilend,7.0,Clos,,18,09/08/2021,amortizing,monthly,,reimbursing
BWC,30000.0,lendix,6.5,Clos,881209522,24,12/08/2021,amortizing,monthly,C-,reimbursing
Promotion L et H,250000.0,lendix,2.0,Clos,305025793,12,09/08/2021,amortizing,monthly,C,reimbursing
Kolibri Logistiek,250000.0,lendix,6.5,Clos,29051231,36,06/08/2021,amortizing,monthly,B,reimbursing
Ouverture d'un nouveau magasin Aviva à Brie-Comte-Robert,33000.0,lesentrepreteurs,8.5,Clos,900961871,48,31/08/2021,amortizing,monthly,D,reimbursing
Arpege Events,15000.0,lendix,7.5,Clos,830623898,24,09/08/2021,amortizing,monthly,C-,reimbursing
Shopeo,15000.0,lendix,8.5,Clos,850454356,24,09/08/2021,amortizing,monthly,C-,reimbursing
Digital Enterprise,22500.0,lendix,7.5,Clos,883389421,24,09/08/2021,amortizing,monthly,C-,reimbursing
Stroie Bat,15000.0,lendix,8.5,Clos,884997636,24,09/08/2021,amortizing,monthly,C-,reimbursing
ARTEJI,150000.0,pretup,9.0,Clos,801844267,18,02/08/2021,amortizing,monthly,C,reimbursing
PERRET CECILE,20000.0,credit.fr,7.6,Clos,814296471,24,30/07/2021,amortizing,monthly,C,reimbursing
Madiaspo,15000.0,lendix,7.5,Clos,851431718,24,06/08/2021,amortizing,monthly,C-,reimbursing
Color Group Experience,117000.0,lendix,2.0,Clos,449047943,12,31/07/2021,amortizing,monthly,C,reimbursing
Rosun,500000.0,lendix,6.0,Clos,51470748,36,31/07/2021,amortizing,monthly,B,reimbursing
Hébergement et restauration - PERPIGNAN,100000.0,unilend,7.9,Clos,890403579,36,04/08/2021,amortizing,monthly,3,reimbursing
Equipe Technique,15000.0,lendix,8.5,Clos,851810168,24,05/08/2021,amortizing,monthly,C-,reimbursing
Ict-Installation Et Cablage Telecom,15000.0,lendix,7.5,Clos,808586267,24,05/08/2021,amortizing,monthly,C-,reimbursing
Neomouv,500000.0,lendix,5.1,Clos,518158183,30,31/07/2021,amortizing,monthly,C,reimbursing
LEC,250000.0,lendix,2.0,Clos,393304134,12,28/07/2021,amortizing,monthly,C,reimbursing
Acquisition de deux appartements à Antibes,442000.0,lesentrepreteurs,9.0,Clos,891843831,18,31/07/2021,amortizing,monthly,A,reimbursing
VIG-Support,200000.0,lendix,7.0,Clos,59352655,48,28/07/2021,amortizing,monthly,B,reimbursing
L'Arbre à Café,220000.0,investbook,9.0,Clos,518615273,36,09/07/2021,amortizing,monthly,,reimbursing
Omconsulting,21000.0,lendix,6.5,Clos,853221505,24,02/08/2021,amortizing,monthly,C-,reimbursing
Le Goff Logistics,15000.0,lendix,8.5,Clos,813216389,24,02/08/2021,amortizing,monthly,C-,reimbursing
Refinancement de subvention pour la construction d'une usine,400000.0,lesentrepreteurs,7.5,Clos,885159905,6,23/07/2021,amortizing,monthly,A+,reimbursing
Harmonie Batiment Compagnie,19000.0,lendix,7.5,Clos,883889339,24,30/07/2021,amortizing,monthly,C-,reimbursing
URBAN FACTORY,400000.0,credit.fr,6.9,Clos,500451679,36,09/08/2021,amortizing,monthly,C+,reimbursing
Prevssi,28600.0,lendix,2.0,Clos,878990662,12,02/08/2021,amortizing,monthly,C-,reimbursing
We Love Cars,22500.0,lendix,2.0,Clos,832941371,12,02/08/2021,amortizing,monthly,C-,reimbursing
AFR Holdco Symphonie,3000000.0,lendopolis,3.5,Clos,897390118,18,01/09/2021,amortizing,monthly,,reimbursing
POMLEG,500000.0,credit.fr,6.7,Clos,732032875,48,26/07/2021,amortizing,monthly,C+,reimbursing
E.R.S.O,40000.0,credit.fr,6.9,Clos,492293428,36,19/07/2021,amortizing,monthly,C+,reimbursing
SIT COM,104000.0,credit.fr,5.9,Clos,421451923,36,04/08/2021,amortizing,monthly,B,reimbursing
Digikeijs,155000.0,lendix,7.5,Clos,71393943,36,19/07/2021,amortizing,monthly,C,reimbursing
ELABOR,42000.0,credit.fr,6.6,Clos,810348672,24,15/07/2021,amortizing,monthly,C+,reimbursing
Groupe Preventis,30000.0,lendix,6.5,Clos,850448333,24,22/07/2021,amortizing,monthly,C-,reimbursing
Trott'Rider,15000.0,lendix,8.5,Clos,848706917,24,22/07/2021,amortizing,monthly,C-,reimbursing
2E - Opérations Rouen #2,300000.0,wesharebonds,10.0,Clos,824300776,24,12/07/2021,bullet,monthly,C,reimbursing
ATR AUTOMOBILES,50002.0,pretup,8.5,Clos,900913369,48,15/07/2021,amortizing,monthly,C,reimbursing
Thorenc PV,2200000.0,lendopolis,5.0,Clos,517759536,54,29/11/2021,amortizing,monthly,,reimbursing
Hornet Laser Cladding,500000.0,lendix,6.35,Clos,63388081,48,14/07/2021,amortizing,monthly,B,reimbursing
Ombrières de GPA,400000.0,enerfip,5.0,Clos,824870034,48,31/08/2021,amortizing,monthly,,reimbursing
Saint-Paul-de-Fenouillet,140000.0,enerfip,5.0,Clos,831116447,48,31/08/2021,amortizing,monthly,,reimbursing
Arneoz,15000.0,lendix,8.5,Clos,882571359,24,16/07/2021,amortizing,monthly,C-,reimbursing
Coursier Prives,30000.0,lendix,6.5,Clos,844785824,24,15/07/2021,amortizing,monthly,C-,reimbursing
Construction / BTP - BORDEAUX,35000.0,unilend,7.0,Clos,,18,07/07/2021,amortizing,monthly,,reimbursing
BEXXIS,40000.0,credit.fr,6.9,Clos,840336044,36,06/07/2021,amortizing,monthly,C+,reimbursing
PROMOCEAN,515000.0,credit.fr,7.6,Clos,382671014,24,07/07/2021,amortizing,monthly,C,reimbursing
Gomes Amenagement Concept,15000.0,lendix,8.5,Clos,879272524,24,14/07/2021,amortizing,monthly,C-,reimbursing
Autolinie,300000.0,lendix,7.5,Clos,80674283,36,07/07/2021,amortizing,monthly,C,reimbursing
Movilex Recycling Group,1556500.0,lendix,6.45,Clos,B06648265,48,12/07/2021,amortizing,monthly,B,reimbursing
Clapiers,80000.0,enerfip,5.0,Clos,815407374,24,23/07/2021,amortizing,monthly,,reimbursing
De Stacaravan Company,300000.0,lendix,7.2,Clos,67150357,36,05/07/2021,amortizing,monthly,C,reimbursing
Sereema 2,600000.0,enerfip,6.25,Clos,810683078,60,30/07/2021,amortizing,monthly,,reimbursing
Urba 149,710000.0,lendopolis,5.0,Clos,823829692,48,29/09/2021,amortizing,monthly,,reimbursing
FLASH TRANSPORT,50013.0,pretup,8.5,Clos,813559549,36,29/06/2021,amortizing,monthly,C,reimbursing
Opération rue de l'Ecole de Médecine #2 - Promoneo,313350.0,wesharebonds,9.5,Clos,812309284,24,27/06/2021,amortizing,monthly,,reimbursing
Opération rue de l'Ecole de Médecine #2 - Bardo,313350.0,wesharebonds,9.5,Clos,812309284,24,27/06/2021,amortizing,monthly,,reimbursing
Autres activités                 - LA FERTE MACE,100000.0,unilend,7.2,Clos,,36,29/06/2021,amortizing,monthly,,reimbursing
Financement d'une opération de marchand de biens à Amboise,150000.0,lesentrepreteurs,9.5,Clos,900317140,18,06/07/2021,amortizing,monthly,A,reimbursing
Interieurbouw Koning,140000.0,lendix,7.0,Clos,27106303,48,30/06/2021,amortizing,monthly,B,reimbursing
Champlat,40000.0,enerfip,5.0,Clos,897803466,48,05/07/2021,amortizing,monthly,,reimbursing
Milhac,900000.0,enerfip,4.5,Clos,891880023,48,08/09/2021,amortizing,monthly,,reimbursing
Ouverture d'un Carrefour Occasion à Créteil,90000.0,lesentrepreteurs,7.5,Clos,841561103,48,16/07/2021,amortizing,monthly,D,reimbursing
Podobrace,2000000.0,lendix,5.0,Clos,69003211,48,28/06/2021,amortizing,monthly,B+,reimbursing
Wep'D,30000.0,lendix,6.5,Clos,878496496,24,01/07/2021,amortizing,monthly,C-,reimbursing
CARROSSERIE DU CENTRE,65000.0,credit.fr,7.2,Clos,351668991,48,25/06/2021,amortizing,monthly,C+,reimbursing
Pirotte Et Associés,22500.0,lendix,2.0,Clos,834960098,12,08/07/2021,amortizing,monthly,C-,reimbursing
Program-ID,20000.0,lendix,2.0,Clos,500182258,12,07/07/2021,amortizing,monthly,C-,reimbursing
Sarl la station ,26010.0,pretup,8.5,Clos,810182980,36,22/06/2021,amortizing,monthly,C,reimbursing
"Commerce, réparation automobile - OULLINS",42000.0,unilend,7.8,Clos,809916521,36,25/06/2021,amortizing,monthly,3,reimbursing
Horizon Photovoltaïque 18,324000.0,lendopolis,5.0,Clos,899161715,48,25/08/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaïque 18,295000.0,lendopolis,5.0,Clos,899161715,48,01/10/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaïque 18,106000.0,lendopolis,5.0,Clos,899161715,48,10/08/2021,amortizing,monthly,,reimbursing
Horizon Photovoltaïque 18,655000.0,lendopolis,5.0,Clos,899161715,48,06/09/2021,amortizing,monthly,,reimbursing
